2022-08-30 16:07:32|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|home||Divorce ou séparation : diagnostic personnalisé 100% en ligne|2|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:07:34|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|diagnostic||Diagnostic en ligne|2|http://localhost/smartwork/separation/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/diagnostic.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:07:37|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil||outil|2|http://localhost/smartwork/separation/diagnostic.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:07:38|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:07:54|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:08:06|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil_result||Diagnostic-Résultat|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_result.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:08:09|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil_procedure||Diagnostic-Procédure|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_procedure.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:08:11|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:08:14|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil_result||Diagnostic-Résultat|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_result.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:08:16|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil_procedure||Diagnostic-Procédure|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_procedure.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:08:19|[INFO]|br5rj0q30o0lr264ul89g7jnll|SEPARATION|::1|outil_dossier||Diagnostic-Dossier|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_dossier.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:15:47|[INFO]|br5rj0q30o0lr264ul89g7jnll|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:15:48|[INFO]|br5rj0q30o0lr264ul89g7jnll|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:27:36|[INFO]|br5rj0q30o0lr264ul89g7jnll|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:27:36|[INFO]|br5rj0q30o0lr264ul89g7jnll|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:43:06|[INFO]|br5rj0q30o0lr264ul89g7jnll|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-30 16:43:07|[INFO]|br5rj0q30o0lr264ul89g7jnll|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
