2022-08-28 11:53:58|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|slides_visu|1||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=1|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:54:22|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:55:02|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:55:47|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:56:44|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:56:48|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:56:57|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_processes|||2|http://localhost/smartwork/dmg/visualisation_diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_processes.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:57:07|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_variables|||2|http://localhost/smartwork/dmg/visualisation_processes.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_variables.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:57:13|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/visualisation_variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-28 11:59:24|[INFO]|a79ecs33rplkgn9v42rmhdiq25|DMG|::1|visualisation_results|||2|http://localhost/smartwork/dmg/visualisation_variables.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_results.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
